#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-12-19 09:25:53 EST     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03316500 GREEN RIVER AT PARADISE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	03316500	186	1959-10-16 13:25:00	CDT	Yes	CCW/JEM	USGS	8.46	1990	Unspecified	-0.01	2.00	Submerged	MEAS
USGS	03316500	187	1959-10-22 12:15:00	CDT	Yes	CCW/CUW	USGS	8.00	1050	Unspecified	0.00	1.80		MEAS
USGS	03316500	188	1959-11-06 09:00:00	CST	Yes	JLS/BLR	USGS	8.39	1480	Poor	-0.02	1.30		MEAS
USGS	03316500	189	1959-11-19 10:05:00	CST	Yes	BLM	USGS	8.24	1410	Fair	0.00	1.30	DebrisModerate	MEAS
USGS	03316500	190	1960-05-12 10:40:00	CDT	Yes	RLB	USGS	8.46	3820	Good	-0.02	1.10		MEAS
USGS	03316500	191	1960-06-07 14:45:00	CDT	Yes	WBM/TRO	USGS	7.30	1180	Poor	0.00	1.30	DebrisHeavy	MEAS
USGS	03316500	192	1960-06-17 09:40:00	CDT	Yes	BLM	USGS	8.07	1680	Fair	0.02	1.20	DebrisModerate	MEAS
USGS	03316500	193	1960-06-17 11:10:00	CDT	Yes	BLM	USGS	8.09	1630	Fair	0.02	1.20	DebrisModerate	MEAS
USGS	03316500	194	1960-07-06 10:10:00	CDT	Yes	BLM/MSH	USGS	11.21	13800	Good	-0.06	1.00	Submerged	MEAS
USGS	03316500	195	1960-07-06 13:35:00	CDT	Yes	MSH/BLM	USGS	11.03	12300	Good	-0.04	1.00	Submerged	MEAS
USGS	03316500	196	1960-07-08 10:10:00	CDT	Yes	BLM/MSH	USGS	9.48	6790	Good	-0.04	1.00		MEAS
USGS	03316500	197	1960-07-08 11:25:00	CDT	Yes	MSH/BLM	USGS	9.44	6610	Good	-0.04	1.00		MEAS
USGS	03316500	198	1960-07-18 15:20:00	CDT	Yes	JLS/JMS	USGS	8.04	2430	Fair	0.00	0.70		MEAS
USGS	03316500	199	1960-08-03 13:15:00	CDT	Yes	RLB	USGS	7.84	1520	Fair	0.00	1.00	DebrisModerate	MEAS
USGS	03316500	200	1960-08-18 09:45:00	CDT	Yes	BLM	USGS	7.60	1210	Poor	0.00	1.50		MEAS
USGS	03316500	201	1960-09-06 12:10:00	CDT	Yes	BLM	USGS	7.69	427	Poor	0.00	1.00	DebrisLight	MEAS
USGS	03316500	202	1960-09-16 11:55:00	CDT	Yes	RLB/BLM	USGS	8.02	957	Fair	0.00	1.00	DebrisLight	MEAS
USGS	03316500	203	1960-09-28 10:30:00	CDT	Yes	RLB	USGS	7.84	1090	Fair	0.00	1.30	DebrisModerate	MEAS
