. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-12-19 09:30:50 EST     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03319885 GREEN RIVER AT LIVERMORE, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	03319885	1	1912-06-08 15:00:00	CST	Yes	CTB	USGS		2400	Unspecified				MEAS
USGS	03319885	23	1930-03-22 13:20:00	CST	Yes	OC/Kel	USGS	6.12	9730	Fair	-0.04	1.90		MEAS
USGS	03319885	24	1930-03-24 13:30:00	CST	Yes	OC/Kel	USGS	5.44	6880	Fair	-0.01	1.50		MEAS
USGS	03319885	25	1930-03-27 14:45:00	CST	Yes	OC/Kel	USGS	5.41	6620	Poor	0.01	1.40		MEAS
USGS	03319885	26	1930-03-28 10:00:00	CST	Yes	OC/Kel	USGS	5.52	6900	Fair	0.00	1.50		MEAS
USGS	03319885	27	1930-03-29 07:00:00	CST	Yes	OC/Kel	USGS	5.47	6800	Fair	0.02	1.50		MEAS
USGS	03319885	28	1930-03-31 08:40:00	CST	Yes	OC/Kel	USGS	5.08	5150	Fair	0.01	1.50		MEAS
USGS	03319885	29	1930-04-01 08:30:00	CST	Yes	OC/Kel	USGS	4.94	4680	Poor	0.02	1.40		MEAS
USGS	03319885	30	1930-04-02 09:15:00	CST	Yes	OC/Kel	USGS	4.87	4500	Fair	0.00	1.40		MEAS
USGS	03319885	31	1930-04-03 10:00:00	CST	Yes	OC/Kel	USGS	5.13	5500	Good	0.07	1.30		MEAS
USGS	03319885	32	1930-04-04 08:00:00	CST	Yes	OC/Kel	USGS	5.68	7800	Fair	0.03	1.50		MEAS
USGS	03319885	33	1930-04-05 06:20:00	CST	Yes	OC/Kel	USGS	5.88	8500	Good	0.01	1.50		MEAS
USGS	03319885	34	1930-04-07 17:40:00	CST	Yes	OC/Kel	USGS	5.57	7100	Poor	0.01	1.00		MEAS
USGS	03319885	35	1930-04-08 09:50:00	CST	Yes	OC/Kel	USGS	5.37	6500	Fair	0.01	1.50		MEAS
USGS	03319885	36	1930-04-09 09:00:00	CST	Yes	OC/Kel	USGS	5.16	5700	Good	0.02	1.40		MEAS
USGS	03319885	37	1930-04-10 13:30:00	CST	Yes	OC/Kel	USGS	4.98	5000	Good	0.00	1.50		MEAS
USGS	03319885	38	1930-04-11 09:00:00	CST	Yes	OC/Kel	USGS	4.84	4500	Good	0.02	1.10		MEAS
USGS	03319885	39	1930-04-12 09:00:00	CST	Yes	OC/Kel	USGS	4.72	4000	Good	0.01	1.50		MEAS
USGS	03319885	40	1930-04-14 15:00:00	CST	Yes	OC/Kel	USGS	4.55	3560	Good	0.00	1.70		MEAS
USGS	03319885	41	1930-04-15 09:45:00	CST	Yes	OC/Kel	USGS	4.51	3540	Good	0.00	1.60		MEAS
USGS	03319885	42	1930-04-16 07:50:00	CST	Yes	OC/KeL	USGS	4.46	3440	Good	0.00	1.40		MEAS
USGS	03319885	43	1930-04-17 10:00:00	CST	Yes	OC/Kel	USGS	4.42	3350	Good	0.00	1.50		MEAS
