#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-12-19 09:32:40 EST     (sdww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 03320000 GREEN RIVER AT LOCK 2 AT CALHOUN, KY
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	03320000	521	1960-03-23 08:15:00	CST	Yes	BLM	USGS	21.76	42300	Good	-0.01	1.80	Submerged	MEAS
USGS	03320000	522	1960-04-26 16:25:00	CDT	Yes	MSH	USGS	11.58	5460	Fair	-0.01	1.00		MEAS
USGS	03320000	523	1960-05-23 13:00:00	CDT	Yes	RLB	USGS	10.71	3290	Good	0.00	0.80		MEAS
USGS	03320000	524	1960-07-05 13:35:00	CDT	Yes	BLM/MSH	USGS	20.66	33700	Good	-0.10	0.90	Submerged	MEAS
USGS	03320000	525	1960-09-07 11:10:00	CDT	Yes	BLM	USGS	9.63	387	Poor	0.00	0.20	DebrisHeavy	UNSP
USGS	03320000	526	1960-09-29 11:15:00	CDT	Yes	RLB	USGS	9.90	1220	Fair	0.00	1.10	DebrisModerate	MEAS
USGS	03320000	527	1960-11-02 10:58:00	CST	Yes	RLB	USGS	9.75	654	Poor				UNSP
USGS	03320000	528	1960-11-30 10:30:00	CST	Yes	BLM	USGS	11.14	3840	Good	0.04	1.30	DebrisHeavy	MEAS
USGS	03320000	529	1961-01-03 10:15:00	CST	Yes	RLB	USGS	13.88	14300	Good	0.01	1.10		MEAS
USGS	03320000	530	1961-02-06 11:20:00	CST	Yes	MSH	USGS	11.43	4730	Fair	-0.02	1.00	DebrisModerate	MEAS
USGS	03320000	531	1961-03-03 10:05:00	CST	Yes	BLM	USGS	25.31	39100	Good	0.04	1.80	Submerged	MEAS
USGS	03320000	532	1961-03-13 10:35:00	CST	Yes	RLB/BLM	USGS	30.68	51800	Good	0.01	1.30	Submerged	MEAS
USGS	03320000	533	1961-04-06 10:40:00	CST	Yes	RLB	USGS	16.04	24000	Good	-0.05	1.00		MEAS
USGS	03320000	534	1961-05-01 13:40:00	CDT	Yes	MSH	USGS	16.07	15300	Fair	0.04	1.30	Clear	MEAS
USGS	03320000	535	1961-05-11 12:20:00	CDT	Yes	RLB/ASC	USGS	27.62	40600	Good	0.05	1.40	Submerged	MEAS
USGS	03320000	536	1961-06-02 11:05:00	CDT	Yes	BLM	USGS	11.42	5230	Good	0.02	1.30		MEAS
USGS	03320000	537	1961-07-07 11:50:00	CDT	Yes	RLB	USGS	10.57	2440	Good	0.00	1.20		MEAS
USGS	03320000	538	1961-08-04 10:30:00	CDT	Yes	RLB	USGS	10.68	3480	Fair	0.00	1.00		MEAS
USGS	03320000	539	1961-09-06 12:00:00	CDT	Yes	RLB	USGS	10.51	2480	Good	0.00	1.20		MEAS
USGS	03320000	540	1961-10-03 10:10:00	CDT	Yes	MSH	USGS	10.18	1440	Fair	0.00	1.30	DebrisLight	MEAS
USGS	03320000	541	1961-11-06 11:20:00	CST	Yes	BLM	USGS	10.43	1850	Good	0.00	1.30	DebrisLight	MEAS
USGS	03320000	542	1961-12-07 09:45:00	CST	Yes	RLB	USGS	10.87	3260	Good	0.00	1.10	Clear	MEAS
USGS	03320000	543	1962-01-02 11:20:00	CST	Yes	RLB	USGS	12.14	7790	Good	-0.01	1.20		MEAS
USGS	03320000	544	1962-01-31 10:30:00	CST	Yes	RLB/MSH	USGS	26.03	45500	Good	-0.02	1.30	Submerged	MEAS
USGS	03320000	545	1962-03-07 08:20:00	CST	Yes	BLM/ASC	USGS	33.14	98300	Good	0.03	1.50	Submerged	MEAS
USGS	03320000	546	1962-04-05 12:40:00	CST	Yes	BLM	USGS	25.13	39900	Good	0.02	1.70	Submerged	MEAS
USGS	03320000	547	1962-05-04 10:45:00	CDT	Yes	RLB	USGS	12.35	8660	Fair	-0.01	1.00		MEAS
USGS	03320000	548	1962-06-07 10:55:00	CDT	Yes	RLB	USGS	12.51	9140	Good	0.02	1.10		MEAS
USGS	03320000	549	1962-07-02 14:20:00	CDT	Yes	BLM	USGS	10.35	1950	Fair	0.00	1.20	DebrisLight	MEAS
USGS	03320000	550	1962-08-02 10:45:00	CDT	Yes	RLB	USGS	9.84	1100	Fair	0.01	1.00		MEAS
USGS	03320000	551	1962-08-30 13:40:00	CDT	Yes	RLB/BLM	USGS	9.74	685	Poor	0.01	1.50	DebrisModerate	MEAS
USGS	03320000	552	1962-10-04 10:00:00	CDT	Yes	RLB	USGS	14.24	17900	Good	0.03	1.20	Clear	MEAS
USGS	03320000	553	1962-11-02 08:55:00	CST	Yes	BLM	USGS	10.29	1530	Poor	0.00	1.20		MEAS
USGS	03320000	554	1962-12-05 10:40:00	CST	Yes	RLB	USGS	10.26	1740	Good	0.00	1.00	DebrisModerate	MEAS
USGS	03320000	555	1963-02-06 12:30:00	CST	Yes	BLM	USGS	12.93	10300	Good	0.01	1.00	Clear	MEAS
USGS	03320000	556	1963-03-11 10:00:00	CST	Yes	RLB	USGS	26.72	41900	Good	0.05	1.30	Submerged	MEAS
USGS	03320000	557	1963-04-04 12:20:00	CST	Yes	BLM	USGS	17.46	10700	Good	-0.16	1.70	Submerged	MEAS
USGS	03320000	558	1963-05-03 11:45:00	CDT	Yes	BLM	USGS	11.09	3870	Fair	0.00	1.20	Clear	MEAS
USGS	03320000	559	1963-06-06 09:30:00	CDT	Yes	RLB	USGS	10.47	2720	Good	0.02	0.90	Clear	MEAS
USGS	03320000	560	1963-07-03 10:20:00	CDT	Yes	RLB	USGS	10.64	2750	Good	0.00	1.10		MEAS
USGS	03320000	561	1963-08-01 13:30:00	CDT	Yes	RLB/BLM	USGS	10.92	3520	Good	0.01	1.10	Clear	MEAS
USGS	03320000	562	1963-09-04 12:15:00	CDT	Yes	BLM	USGS	10.10	1350	Fair	-0.01	1.50	DebrisModerate	MEAS
USGS	03320000	563	1963-10-03 11:40:00	CDT	Yes	RLB	USGS	9.91	1200	Poor	0.00	1.00	DebrisModerate	MEAS
USGS	03320000	564	1963-11-08 11:20:00	CST	Yes	BLM	USGS	10.04	1100	Poor	0.00	1.80		MEAS
USGS	03320000	565	1963-12-06 08:20:00	CST	Yes	RLB	USGS	10.03	1320	Fair	0.00	1.00		MEAS
USGS	03320000	566	1964-01-02 09:45:00	CST	Yes	RLB	USGS	9.71	671	Poor	0.01	1.00		MEAS
USGS	03320000	567	1964-02-06 09:20:00	CST	Yes	BLM	USGS	10.55	2290	Fair	0.00	1.50		MEAS
USGS	03320000	568	1964-03-06 09:45:00	CST	Yes	RLB	USGS	21.18	48500	Good	0.10	1.30	Submerged	MEAS
